SaleItemID,SaleID,BatchID,QuantitySold,UnitPrice,SubTotal
187,76,45,9,183.47,1651.23
188,76,29,2,200.33,400.66
189,77,12,12,286.46,3437.52
190,77,28,4,373.33,1493.32
191,77,13,12,109.58,1314.96
192,78,4,7,29.49,206.43
193,78,25,4,306.11,1224.44
194,78,14,15,349.15,5237.25
195,79,39,7,50.77,355.39
196,80,4,11,29.49,324.39
197,81,10,19,285.99,5433.81
198,81,43,7,29.51,206.57
199,82,45,18,183.47,3302.46
200,83,32,8,302.3,2418.4
201,83,12,11,286.46,3151.06
202,84,43,20,29.51,590.2
203,84,48,1,330.35,330.35
204,85,46,9,136.62,1229.58
205,85,10,6,285.99,1715.94
206,85,31,4,184.55,738.2
207,86,10,1,285.99,285.99
208,87,43,11,29.51,324.61
209,87,13,1,109.58,109.58
210,87,32,6,302.3,1813.8
211,88,4,14,29.49,412.86
212,88,10,17,285.99,4861.83
213,88,41,4,178.03,712.12
214,89,29,15,200.33,3004.95
215,90,30,15,294.73,4420.95
216,90,32,17,302.3,5139.1
217,90,8,8,39.62,316.96
218,91,41,17,178.03,3026.51
219,92,28,2,373.33,746.66
220,92,38,16,46.67,746.72
221,92,2,2,55.85,111.7
222,93,39,15,50.77,761.55
223,93,8,3,39.62,118.86
224,93,29,3,200.33,600.99
225,93,40,11,366.59,4032.49
226,94,5,9,355.46,3199.14
227,94,10,20,285.99,5719.8
228,95,25,10,306.11,3061.1
229,95,37,15,143.51,2152.65
230,95,30,17,294.73,5010.41
231,96,8,18,39.62,713.16
232,96,43,7,29.51,206.57
233,96,40,14,366.59,5132.26
234,96,46,15,136.62,2049.3
235,97,26,15,177.46,2661.9
236,97,18,13,234.19,3044.47
237,98,41,11,178.03,1958.33
238,98,8,9,39.62,356.58
239,98,18,12,234.19,2810.28
240,98,26,5,177.46,887.3
241,99,5,12,355.46,4265.52
242,99,45,5,183.47,917.35
243,99,26,18,177.46,3194.28
244,99,8,2,39.62,79.24
245,100,39,12,50.77,609.24
246,100,8,14,39.62,554.68
247,100,26,2,177.46,354.92
